Diploma notu dönüşüm tablosu:
dörtlük sistem: 4, yüzlük sistem 100, yüzlük sistem
dörtlük sistem: 3.99, yüzlük sistem 99.76, yüzlük sistem
dörtlük sistem: 3.98, yüzlük sistem 99.53, yüzlük sistem
dörtlük sistem: 3.97, yüzlük sistem 99.30, yüzlük sistem
dörtlük sistem: 3.96, yüzlük sistem 99.06, yüzlük sistem
dörtlük sistem: 3.95, yüzlük sistem 98.83, yüzlük sistem
dörtlük sistem: 3.94, yüzlük sistem 98.60, yüzlük sistem
dörtlük sistem: 3.93, yüzlük sistem 98.36, yüzlük sistem
dörtlük sistem: 3.92, yüzlük sistem 98.13, yüzlük sistem
dörtlük sistem: 3.91, yüzlük sistem 97.90, yüzlük sistem
dörtlük sistem: 3.9, yüzlük sistem 97.66, yüzlük sistem
dörtlük sistem: 3.89, yüzlük sistem 97.43, yüzlük sistem
dörtlük sistem: 3.88, yüzlük sistem 97.20, yüzlük sistem
dörtlük sistem: 3.87, yüzlük sistem 96.96, yüzlük sistem
dörtlük sistem: 3.86, yüzlük sistem 96.73, yüzlük sistem
dörtlük sistem: 3.85, yüzlük sistem 96.50, yüzlük sistem
dörtlük sistem: 3.84, yüzlük sistem 96.26, yüzlük sistem
dörtlük sistem: 3.83, yüzlük sistem 96.03, yüzlük sistem
dörtlük sistem: 3.82, yüzlük sistem 95.80, yüzlük sistem
dörtlük sistem: 3.81, yüzlük sistem 95.56, yüzlük sistem
dörtlük sistem: 3.8, yüzlük sistem 95.33, yüzlük sistem
dörtlük sistem: 3.79, yüzlük sistem 95.10, yüzlük sistem
dörtlük sistem: 3.78, yüzlük sistem 94.86, yüzlük sistem
dörtlük sistem: 3.77, yüzlük sistem 94.63, yüzlük sistem
dörtlük sistem: 3.76, yüzlük sistem 94.40, yüzlük sistem
dörtlük sistem: 3.75, yüzlük sistem 94.16, yüzlük sistem
dörtlük sistem: 3.74, yüzlük sistem 93.93, yüzlük sistem
dörtlük sistem: 3.73, yüzlük sistem 93.70, yüzlük sistem
dörtlük sistem: 3.72, yüzlük sistem 93.46, yüzlük sistem
dörtlük sistem: 3.71, yüzlük sistem 93.23, yüzlük sistem
dörtlük sistem: 3.7, yüzlük sistem 93.00, yüzlük sistem
dörtlük sistem: 3.69, yüzlük sistem 92.76, yüzlük sistem
dörtlük sistem: 3.68, yüzlük sistem 92.53, yüzlük sistem
dörtlük sistem: 3.67, yüzlük sistem 92.30, yüzlük sistem
dörtlük sistem: 3.66, yüzlük sistem 92.06, yüzlük sistem
dörtlük sistem: 3.65, yüzlük sistem 91.83, yüzlük sistem
dörtlük sistem: 3.64, yüzlük sistem 91.60, yüzlük sistem
dörtlük sistem: 3.63, yüzlük sistem 91.36, yüzlük sistem
dörtlük sistem: 3.62, yüzlük sistem 91.13, yüzlük sistem
dörtlük sistem: 3.61, yüzlük sistem 90.90, yüzlük sistem
dörtlük sistem: 3.6, yüzlük sistem 90.66, yüzlük sistem
dörtlük sistem: 3.59, yüzlük sistem 90.43, yüzlük sistem
dörtlük sistem: 3.58, yüzlük sistem 90.20, yüzlük sistem
